,Name,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding,Implied Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (M),Short Ratio (M),Short % of Float,Short % of Shares Outstanding,Shares Short,Forward Annual Dividend Rate,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield (%),5 Year Average Dividend Yield,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Cash Per Share (mrq),Total Debt (mrq) (B),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date,Ex-Dividend Date,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq)
45,Bristol-Myers Squibb Company ,BMY,147.29,178.76,23.74,8.67,0.0,3.26,4.74,3.87,9.3,0.45,-9.0,-7.0,81.44,65.28,69.71,72.85,0.01,0.01,2.1,0.0,2.1,0.0,79.0,0.02,2.12,1.0,1.0,0.02,2.28,3.0,2.19,3.0,3.01,74.0,1.05,14.0,21.0,6.0,19.0,46.16,21.67,-5.0,36.38,20.16,6.33,2.95,-15.0,9.25,4.41,40.82,131.18,1.25,14.81,13.07,13.83,2023-04-30,2023-04-05,2001-08-06,2022-12-30,2022-12-30
46,"Advanced Micro Devices, Inc. ",AMD,151.33,148.34,111.94,32.05,1.84,6.26,2.76,6.29,43.99,1.95,-1.0,-7.0,109.57,54.57,87.49,78.17,0.06,0.05,1.61,0.0,1.6,0.0,72.0,0.04,0.5,2.0,2.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,2.0,4.0,23.6,15.12,16.0,12.05,4.7,1.32,0.82,-98.0,5.86,3.63,2.96,5.4,2.36,33.96,3.56,3.79,,1995-04-26,2000-08-21,2022-12-30,2022-12-30
47,Raytheon Technologies Corporation ,RTX,145.91,173.19,28.41,19.8,2.86,2.21,2.01,2.58,15.15,0.74,-3.0,-7.0,106.02,80.27,98.49,94.51,0.0,0.0,1.46,0.0,1.33,0.0,82.0,0.01,1.93,1.0,1.0,0.01,2.2,2.0,2.16,2.0,2.54,62.0,1.59,8.0,11.0,3.0,7.0,67.07,45.46,6.0,13.67,11.32,5.22,3.51,107.0,6.22,4.26,33.86,45.62,1.09,49.71,7.17,6.1,2023-03-22,2023-02-22,2020-04-02,2022-12-30,2022-12-30
48,"Netflix, Inc. ",NFLX,150.62,158.92,33.99,29.33,1.67,4.83,7.25,5.03,7.82,1.26,-3.0,-7.0,379.43,162.71,331.23,277.56,0.01,0.0,0.45,0.0,0.44,1.0,84.0,0.01,1.35,2.0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,18.0,8.0,25.0,31.62,71.09,2.0,12.45,5.97,4.49,9.73,-91.0,6.06,13.6,16.93,81.49,1.17,46.65,2.03,16.54,,,2015-07-14,2022-12-30,2022-12-30
49,Oracle Corporation ,ORCL,253.7,336.74,31.01,16.72,1.84,5.4,0.0,7.02,18.45,1.01,18.0,-7.0,96.08,60.78,88.73,79.24,0.01,0.01,2.7,0.0,1.55,43.0,44.0,0.01,1.93,1.0,1.0,0.01,1.6,2.0,1.36,1.0,1.58,42.0,2.0,17.0,29.0,7.0,0.0,47.96,17.86,18.0,33.56,18.6,8.37,3.04,-18.0,8.77,3.25,91.81,0.0,0.82,-0.9,15.5,8.39,2023-04-23,2023-04-09,2000-10-12,2022-05-30,2023-02-27
0,AT&T Inc. ,T,140.85,291.83,19.23,8.2,1.45,1.24,1.44,2.42,13.87,0.77,1.0,-7.0,21.53,14.46,19.07,18.49,0.03,0.03,7.15,0.0,7.12,0.0,56.0,0.09,2.95,1.0,1.0,0.09,1.11,6.0,1.11,6.0,7.02,0.0,1.32,-7.0,24.0,4.0,-5.0,120.74,16.85,1.0,69.89,44.52,-7.88,-1.1,0.0,3.74,0.52,164.37,154.4,0.59,13.68,32.02,103.45,2023-04-30,2023-04-05,2022-04-10,2022-12-30,2022-12-30
1,"United Parcel Service, Inc. ",UPS,164.87,180.8,14.58,16.81,2.5,1.68,8.33,1.8,9.66,1.08,1.0,-7.0,209.39,154.87,186.16,182.28,0.0,0.0,0.72,0.0,0.72,0.0,73.0,0.01,3.72,2.0,1.0,0.01,6.48,3.0,6.08,3.0,2.94,46.0,0.0,12.0,14.0,12.0,68.0,100.34,115.2,-3.0,25.09,16.97,11.55,13.2,12.0,7.59,8.84,23.53,118.8,1.23,23.03,14.1,8.19,2023-03-09,2023-02-16,,2022-12-30,2022-12-30
2,QUALCOMM Incorporated ,QCOM,134.1,142.74,11.52,12.9,1.08,3.18,7.13,3.32,9.05,1.3,-12.0,-7.0,156.66,101.93,125.2,126.25,0.01,0.01,1.12,0.0,1.11,0.0,76.0,0.01,1.49,1.0,1.0,0.01,3.0,2.0,2.93,2.0,2.7,28.0,2.0,27.0,34.0,20.0,79.0,42.96,38.27,-12.0,25.57,16.3,11.86,10.44,-34.0,8.24,7.39,16.88,89.72,2.09,16.81,10.13,5.09,2023-03-22,2023-02-28,2004-08-15,2022-09-24,2022-12-24
3,Amgen Inc. ,AMGN,134.32,163.96,20.76,14.12,1.39,5.17,36.69,6.23,13.47,0.65,-2.0,-7.0,296.67,223.3,238.91,251.74,0.0,0.0,0.53,0.0,0.53,0.0,80.0,0.01,3.01,1.0,1.0,0.01,8.52,3.0,7.76,3.0,2.86,64.0,2.0,25.0,38.0,10.0,126.0,26.32,48.93,-0.0,19.92,13.49,6.55,12.1,-15.0,9.3,17.43,39.64,1082.76,1.41,6.86,9.72,8.75,2023-06-07,2023-05-16,1999-11-21,2022-12-30,2022-12-30
4,Intel Corporation ,INTC,134.93,148.6,16.68,67.57,6.4,2.12,1.33,2.36,6.98,0.81,-30.0,-7.0,48.9,24.59,28.66,30.34,0.05,0.05,4.17,0.0,4.13,0.0,63.0,0.08,1.56,2.0,2.0,0.07,0.5,2.0,1.46,5.0,2.88,75.0,2.0,13.0,4.0,1.0,8.0,63.05,15.35,-32.0,26.87,15.37,8.01,1.94,0.0,28.34,6.85,42.47,41.12,1.57,24.52,15.43,4.3,2023-05-31,2023-05-03,2000-07-30,2022-12-30,2022-12-30
5,ConocoPhillips ,COP,129.37,136.77,7.33,9.68,0.81,1.74,2.69,1.74,3.72,1.31,6.0,-7.0,138.49,78.3,105.36,109.72,0.01,0.01,1.21,0.0,1.22,0.0,83.0,0.01,1.9,1.0,1.0,0.01,2.32,2.0,4.49,4.0,2.51,25.0,1.31,23.0,34.0,18.0,40.0,80.57,63.24,24.0,39.6,34.88,18.62,14.57,24.0,9.24,7.58,17.19,35.81,1.46,39.22,28.31,15.96,2023-04-13,2023-03-27,2012-04-30,2022-12-30,2022-12-30
6,Honeywell International Inc. ,HON,127.94,138.37,26.44,21.23,2.17,3.7,7.66,3.9,17.3,1.11,-1.0,-7.0,220.96,166.63,194.86,195.05,0.0,0.0,0.67,0.0,0.64,0.0,78.0,0.0,1.55,1.0,1.0,0.0,4.12,2.0,3.97,2.0,1.97,55.0,1.03,14.0,20.0,7.0,27.0,35.47,52.38,6.0,11.64,8.27,4.97,7.26,-29.0,10.11,15.13,20.54,118.53,1.25,25.01,5.27,5.08,2023-03-09,2023-02-22,2018-10-28,2022-12-30,2022-12-30
7,Intuit Inc. ,INTU,122.74,128.35,63.87,28.33,1.75,9.1,7.75,9.38,36.3,1.16,-6.0,-7.0,492.37,339.36,420.07,413.7,0.0,0.0,0.28,0.0,0.27,3.0,87.0,0.0,1.66,1.0,1.0,0.0,3.12,1.0,2.92,1.0,0.65,43.0,2.0,14.0,20.0,6.0,12.0,13.68,48.61,14.0,10.46,3.4,1.95,6.83,68.0,2.07,7.38,7.68,48.46,1.23,56.44,4.27,3.49,2023-04-17,2023-04-05,2006-07-06,2022-07-30,2023-01-30
8,Union Pacific Corporation ,UNP,121.38,155.32,17.74,17.18,2.51,4.99,9.98,6.24,12.34,1.1,-19.0,-7.0,250.52,183.69,199.93,209.43,0.0,0.0,0.61,0.0,0.61,0.0,81.0,0.01,1.43,1.0,1.0,0.01,5.2,3.0,5.08,3.0,2.05,45.0,2.0,28.0,40.0,10.0,53.0,24.87,39.95,8.0,13.37,12.08,7.0,11.21,-4.0,1.02,1.66,34.96,287.4,0.72,19.86,9.36,3.95,2023-03-30,2023-02-26,2014-06-08,2022-12-30,2022-12-30
9,Starbucks Corporation ,SBUX,121.53,142.04,36.72,31.35,1.77,3.7,0.0,4.32,22.59,0.94,33.0,-7.0,110.83,68.39,103.48,94.38,0.01,0.0,1.15,0.0,1.13,2.0,75.0,0.01,2.26,1.0,1.0,0.01,2.12,2.0,2.04,2.0,1.92,69.0,2.0,10.0,14.0,10.0,0.0,32.91,28.67,8.0,8.39,6.0,3.32,2.88,5.0,3.31,2.88,23.87,0.0,0.75,-7.55,4.12,1.64,2023-05-25,2023-05-10,2015-04-08,2022-10-01,2022-12-31
10,"Lowe's Companies, Inc. ",LOW,120.07,156.72,19.8,14.56,1.19,1.31,0.0,1.61,12.87,1.09,-1.0,-7.0,223.31,170.12,202.37,198.84,0.0,0.0,0.6,0.0,0.6,0.0,77.0,0.01,2.49,1.0,1.0,0.01,4.2,2.0,3.95,2.0,1.65,39.0,2.0,7.0,10.0,14.0,0.0,97.06,154.31,5.0,32.26,12.14,6.42,10.25,-21.0,1.98,3.33,38.08,0.0,1.1,-23.72,8.59,4.87,2023-05-09,2023-04-24,2006-07-02,2023-02-02,2023-02-02
11,The Boeing Company ,BA,127.22,167.27,0.0,0.0,6.53,1.9,0.0,2.51,-327.99,1.44,17.0,-7.0,221.33,113.02,207.93,175.21,0.01,0.01,0.6,0.0,0.55,0.0,59.0,0.01,1.51,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-7.0,-0.0,-0.0,0.0,66.61,111.91,35.0,5.77,1.65,-4.94,-8.28,0.0,17.22,28.78,58.58,0.0,1.22,-26.58,3.51,5.08,2020-03-05,2020-02-12,1997-06-08,2022-12-30,2022-12-30
12,"Elevance Health, Inc. ",ELV,116.18,132.91,19.74,14.93,1.26,0.76,3.2,0.85,0.0,0.86,-5.0,-7.0,549.52,440.02,474.53,487.14,0.0,0.0,0.24,0.0,0.24,0.0,93.0,0.0,1.9,1.0,1.0,0.0,5.92,1.0,5.12,1.0,1.11,21.0,2.0,4.0,6.0,5.0,17.0,156.6,652.5,9.0,40.11,9.74,6.02,24.83,-16.0,34.29,144.41,25.05,68.82,1.4,152.58,8.4,8.55,2023-03-23,2023-03-08,2005-05-31,2022-12-30,2022-12-30
13,International Business Machines Corporation ,IBM,118.3,163.58,66.88,13.66,2.09,1.97,5.39,2.7,22.8,0.85,2.0,-7.0,153.21,115.55,130.42,134.33,0.01,0.0,0.91,0.91,0.91,0.0,59.0,0.03,6.12,3.0,3.0,0.03,6.6,5.0,6.59,5.0,4.88,338.0,1.05,3.0,12.0,4.0,9.0,60.53,67.06,-0.0,32.69,12.37,1.78,1.96,16.0,8.74,9.63,54.01,245.28,0.92,24.22,10.44,9.71,2023-03-09,2023-02-08,2021-11-03,2022-12-30,2022-12-30
14,Caterpillar Inc. ,CAT,113.85,143.84,17.44,13.83,1.43,1.97,7.17,2.42,12.6,1.1,-3.0,-7.0,266.04,160.6,234.47,213.29,0.0,0.0,0.52,0.0,0.52,0.0,72.0,0.01,2.37,1.0,1.0,0.01,4.8,2.0,4.71,2.0,2.42,37.0,2.0,11.0,16.0,7.0,41.0,59.43,112.79,20.0,15.56,11.9,6.7,12.63,-31.0,6.04,11.7,37.57,236.44,1.39,30.73,7.77,3.5,2023-02-16,2023-01-18,2005-07-13,2022-12-30,2022-12-30
15,"Prologis, Inc. ",PLD,113.28,137.58,28.86,51.55,0.58,16.67,2.13,23.03,23.74,1.0,-25.0,-7.0,174.54,98.03,123.47,119.37,0.0,0.0,0.92,0.0,0.92,0.0,95.0,0.01,3.49,2.0,1.0,0.01,3.48,3.0,3.16,3.0,2.36,74.0,0.0,54.0,41.0,2.0,7.0,6.28,8.0,26.0,4.78,4.4,3.36,4.25,-53.0,0.28,0.3,24.51,42.37,0.95,57.6,4.13,3.88,2023-03-30,2023-03-15,,2022-12-30,2022-12-30
16,S&P Global Inc. ,SPGI,112.13,122.36,33.52,27.32,2.33,9.74,3.08,10.94,20.33,1.12,-12.0,-7.0,403.48,279.32,347.71,346.15,0.0,0.0,0.33,0.0,0.32,0.0,89.0,0.0,2.81,1.0,1.0,0.0,3.6,1.0,3.32,1.0,0.86,33.0,2.0,29.0,35.0,6.0,16.0,11.18,35.28,41.0,7.42,4.98,3.25,10.2,-36.0,1.3,4.04,11.65,29.32,0.94,113.04,2.6,3.3,2023-03-09,2023-02-22,2005-05-17,2022-12-30,2022-12-30
17,"The Goldman Sachs Group, Inc. ",GS,109.27,0.0,10.89,9.62,1.96,2.48,1.03,0.0,0.0,1.42,3.0,-7.0,389.58,277.84,342.97,338.64,0.0,0.0,0.33,0.0,0.35,1.0,73.0,0.0,1.11,1.0,1.0,0.0,10.0,3.0,9.0,3.0,1.94,30.0,0.0,25.0,31.0,1.0,10.0,44.65,126.81,-22.0,37.53,0.0,10.71,30.05,-66.0,917.09,2599.81,520.01,441.29,1.73,177.41,8.71,0.0,2023-03-29,2023-02-28,,2022-12-30,2022-12-30
18,Morgan Stanley ,MS,142.3,0.0,13.84,12.52,2.78,2.9,1.56,0.0,0.0,1.35,1.0,-7.0,100.99,72.05,92.5,87.27,0.01,0.01,1.67,0.0,1.3,23.0,63.0,0.02,2.06,1.0,1.0,0.02,3.1,4.0,3.03,4.0,2.65,48.0,2.0,21.0,33.0,1.0,11.0,53.39,31.57,-13.0,46.44,0.0,10.54,6.15,-40.0,554.75,329.83,367.47,363.0,1.93,54.55,-6.4,0.0,2023-02-14,2023-01-29,2000-01-26,2022-12-30,2022-12-30
19,Lockheed Martin Corporation ,LMT,124.16,137.05,22.52,18.21,3.51,1.96,13.4,2.08,15.74,0.68,4.0,-7.0,498.95,373.67,476.12,450.95,0.0,0.0,0.25,0.0,0.22,0.0,78.0,0.0,2.22,1.0,1.0,0.0,12.0,2.0,11.4,2.0,2.6,53.0,2.0,9.0,11.0,9.0,57.0,65.98,250.22,7.0,8.39,8.62,5.73,21.66,-7.0,2.55,9.98,16.65,179.65,1.32,36.48,7.8,3.58,2023-03-23,2023-02-27,1999-01-03,2022-12-30,2022-12-30
20,Medtronic plc ,MDT,107.76,124.76,26.64,15.11,2.22,3.52,2.09,4.05,14.32,0.72,-26.0,-7.0,114.31,75.77,81.74,84.16,0.01,0.0,1.33,0.0,1.33,0.0,84.0,0.01,1.26,1.0,1.0,0.01,2.72,3.0,2.67,3.0,2.27,88.0,2.0,13.0,19.0,4.0,8.0,30.77,23.11,-0.0,21.71,8.63,4.06,3.04,-17.0,11.14,8.37,28.13,54.49,1.76,38.67,5.64,3.22,2023-04-13,2023-03-22,1999-09-26,2022-04-28,2023-01-26
21,Deere & Company ,DE,112.85,162.39,14.15,12.8,1.16,2.11,5.29,2.96,11.87,1.06,-12.0,-7.0,448.4,283.81,406.46,385.62,0.0,0.0,0.3,0.0,0.28,0.0,79.0,0.0,1.61,1.0,1.0,0.0,5.0,1.0,4.51,1.0,1.43,17.0,2.0,15.0,21.0,8.0,42.0,55.65,184.23,32.0,14.49,12.41,8.19,26.9,117.0,2.96,9.99,55.15,257.28,2.11,71.99,6.01,1.26,2023-05-07,2023-03-29,2007-12-03,2022-10-29,2023-01-28
22,"Gilead Sciences, Inc. ",GILD,103.08,121.92,22.68,12.06,0.6,3.82,4.85,4.47,13.77,0.4,33.0,-7.0,89.74,57.17,82.02,74.94,0.01,0.0,1.25,0.0,1.25,0.0,86.0,0.02,2.69,1.0,1.0,0.02,3.0,4.0,2.92,4.0,3.84,80.0,2.0,17.0,40.0,10.0,22.0,27.28,21.74,2.0,21.62,13.08,4.59,3.64,329.0,7.14,5.73,25.81,121.68,1.28,17.03,9.07,6.66,2023-03-29,2023-03-13,2013-01-27,2022-12-30,2022-12-30
23,General Electric Company ,GE,102.6,103.2,177.55,48.31,3.09,1.35,2.82,1.35,15.72,1.19,33.0,-7.0,97.87,46.78,87.88,67.35,0.01,0.01,1.09,0.0,1.09,0.0,73.0,0.02,1.87,2.0,2.0,0.01,0.32,0.0,0.32,0.0,1.36,60.0,1.28,0.0,6.0,2.0,2.0,76.56,69.85,7.0,18.54,8.45,0.58,0.53,0.0,21.77,19.99,34.74,92.45,1.16,33.38,5.92,3.86,2023-04-24,2023-03-05,2023-01-03,2022-12-30,2022-12-30
24,"BlackRock, Inc. ",BLK,100.61,101.68,19.71,19.57,2.53,5.71,2.67,5.69,14.69,1.3,-3.0,-7.0,785.65,503.12,683.46,673.81,0.0,0.0,0.15,0.0,0.15,1.0,81.0,0.0,3.81,2.0,2.0,0.0,20.0,3.0,19.52,3.0,2.45,57.0,0.0,29.0,36.0,3.0,13.0,17.87,118.43,-15.0,8.79,6.9,5.18,33.98,-23.0,7.18,47.81,8.49,21.89,1.81,252.04,4.96,3.96,2023-03-22,2023-03-05,,2022-12-30,2022-12-30
25,Booking Holdings Inc. ,BKNG,96.62,97.26,33.61,20.08,1.01,6.01,34.73,5.69,19.77,1.31,14.0,-7.0,2677.18,1616.85,2511.18,2080.75,0.0,0.0,0.04,0.0,0.04,0.0,97.0,0.0,2.15,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,18.0,29.0,13.0,68.0,17.09,428.62,36.0,14.62,5.35,3.06,75.65,100.0,12.4,329.26,13.18,473.87,1.86,73.47,6.55,5.77,,,2003-06-15,2022-12-30,2022-12-30
26,American Tower Corporation ,AMT,97.96,142.99,55.07,47.85,1.88,9.09,17.58,13.35,23.02,0.56,-17.0,-7.0,282.47,178.17,204.9,225.16,0.0,0.0,0.47,0.0,0.46,0.0,93.0,0.0,1.42,1.0,1.0,0.0,6.24,3.0,5.86,3.0,1.95,153.0,0.0,16.0,29.0,3.0,16.0,10.71,23.21,11.0,7.45,6.49,1.77,3.82,0.0,2.03,4.36,47.05,379.18,0.44,11.97,3.7,4.23,2023-04-27,2023-04-12,,2022-12-30,2022-12-30
27,Stryker Corporation ,SYK,110.15,121.27,47.09,28.99,3.24,6.02,6.63,6.57,30.02,0.93,11.0,-7.0,294.07,188.84,272.48,235.13,0.0,0.0,0.38,0.0,0.34,6.0,80.0,0.01,4.95,2.0,2.0,0.01,3.0,1.0,2.84,1.0,1.07,46.0,2.0,13.0,19.0,6.0,15.0,18.45,48.78,11.0,11.65,4.54,2.36,6.17,-15.0,1.93,5.09,13.53,81.4,1.63,43.88,2.62,1.79,2023-04-27,2023-03-29,2004-05-16,2022-12-30,2022-12-30
28,CVS Health Corporation ,CVS,97.64,152.65,24.3,8.66,1.54,0.31,1.37,0.47,12.55,0.63,-28.0,-7.0,107.6,72.11,80.85,92.61,0.01,0.01,1.28,0.0,1.28,0.0,82.0,0.01,1.53,1.0,1.0,0.01,2.42,3.0,2.2,3.0,2.79,70.0,2.0,1.0,5.0,4.0,6.0,321.63,245.14,10.0,53.46,19.66,4.15,3.14,76.0,15.72,12.24,70.73,99.18,0.94,54.63,16.18,12.02,2023-04-30,2023-04-19,2005-06-06,2022-12-30,2022-12-30
29,"Mondelez International, Inc. ",MDLZ,95.84,117.37,35.87,22.32,2.44,3.09,3.57,3.73,24.64,0.66,10.0,-7.0,71.85,54.72,67.0,64.04,0.01,0.01,1.36,0.0,1.36,0.0,82.0,0.01,1.93,1.0,1.0,0.01,1.54,2.0,1.47,2.0,2.11,75.0,0.0,9.0,15.0,4.0,10.0,31.5,22.86,14.0,11.36,5.98,2.72,1.96,-42.0,1.92,1.41,23.61,87.71,0.6,19.68,3.91,3.75,2023-04-13,2023-03-29,,2022-12-30,2022-12-30
30,"ServiceNow, Inc. ",NOW,95.37,93.33,293.64,51.02,1.94,13.2,18.95,12.88,108.64,1.03,-7.0,-7.0,525.91,337.0,447.93,428.27,0.0,0.0,0.2,0.0,0.2,0.0,92.0,0.0,2.94,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,7.0,7.25,35.97,20.0,5.67,0.79,0.33,1.6,477.0,4.28,21.08,2.23,44.36,1.11,24.8,2.72,2.52,,,,2022-12-30,2022-12-30
31,"Applied Materials, Inc. ",AMAT,98.35,100.43,15.6,15.85,3.44,3.83,7.33,3.83,12.06,1.61,-0.0,-7.0,125.62,71.12,117.7,102.66,0.01,0.01,0.85,0.0,0.84,0.0,83.0,0.02,2.11,2.0,2.0,0.01,1.28,1.0,1.04,1.0,1.21,14.0,2.0,25.0,30.0,18.0,51.0,26.25,30.53,8.0,11.99,8.28,6.45,7.46,-4.0,4.05,4.79,6.12,45.59,2.31,15.88,5.01,2.79,2023-06-14,2023-05-23,2002-04-16,2022-10-29,2023-01-28
32,American Express Company ,AXP,120.41,0.0,16.43,14.51,1.13,2.32,4.87,0.0,0.0,1.2,-12.0,-7.0,192.42,130.65,169.66,155.0,0.0,0.0,0.74,0.0,0.59,0.0,86.0,0.01,1.51,1.0,1.0,0.01,2.4,2.0,2.08,1.0,1.33,21.0,1.14,15.0,20.0,4.0,32.0,50.68,67.48,9.0,28.78,0.0,7.4,9.84,-9.0,33.62,45.18,45.23,183.02,1.51,33.26,21.08,0.0,2023-05-09,2023-04-04,2005-10-02,2022-12-30,2022-12-30
33,"Analog Devices, Inc. ",ADI,95.81,100.69,28.7,17.92,1.92,7.81,2.62,8.0,15.8,1.14,20.0,-7.0,198.25,133.48,185.52,164.99,0.0,0.0,0.51,0.0,0.5,0.0,89.0,0.01,1.51,1.0,1.0,0.01,3.44,2.0,3.14,2.0,1.85,46.0,2.0,27.0,34.0,5.0,9.0,12.58,24.44,21.0,7.8,6.57,3.43,6.59,243.0,1.67,3.3,6.55,17.92,2.12,72.22,5.03,3.95,2023-03-07,2023-02-23,2000-03-15,2022-10-28,2023-01-27
34,"Intuitive Surgical, Inc. ",ISRG,92.04,87.91,71.99,49.26,3.3,15.29,8.34,14.13,45.25,1.29,-6.0,-7.0,308.0,180.07,243.38,235.0,0.0,0.0,0.35,0.0,0.35,1.0,88.0,0.0,1.43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,26.0,8.0,12.0,6.22,17.49,7.0,4.2,1.96,1.32,3.71,-15.0,4.12,11.77,0.1,0.86,4.4,31.55,1.49,1.12,,,2021-10-04,2022-12-30,2022-12-30
35,Citigroup Inc. ,C,91.87,0.0,6.64,7.56,18.91,1.23,0.5,0.0,0.0,1.59,-8.0,-7.0,54.56,40.01,48.52,47.9,0.02,0.01,1.95,0.0,1.88,0.0,74.0,0.04,1.5,2.0,2.0,0.03,2.04,4.0,2.04,4.0,3.25,29.0,0.1,21.0,27.0,1.0,8.0,70.56,36.25,-1.0,70.56,0.0,13.93,7.11,-21.0,1020.0,527.12,584.14,0.0,0.0,94.06,25.07,0.0,2023-05-25,2023-04-27,2011-05-08,2022-12-30,2022-12-30
36,"Automatic Data Processing, Inc. ",ADP,89.17,91.15,28.62,24.1,2.26,5.39,29.86,5.47,19.21,0.82,-6.0,-7.0,274.92,196.61,220.17,234.57,0.0,0.0,0.41,0.0,0.41,0.0,84.0,0.01,2.29,1.0,1.0,0.0,5.0,2.0,4.37,2.0,1.94,58.0,1.14,18.0,24.0,5.0,78.0,17.25,41.49,9.0,7.45,4.69,3.15,7.52,17.0,1.36,3.29,3.42,114.44,0.99,7.21,3.5,5.94,2023-03-31,2023-03-08,2014-09-30,2022-06-29,2022-12-30
37,"The TJX Companies, Inc. ",TJX,90.29,97.56,26.38,22.68,1.93,1.85,14.19,1.95,17.4,0.91,22.0,-7.0,83.13,53.69,77.68,71.64,0.01,0.0,1.15,0.0,1.15,0.0,94.0,0.01,1.05,1.0,1.0,0.01,1.33,2.0,1.18,2.0,1.35,39.0,2.0,7.0,10.0,11.0,57.0,49.94,42.83,5.0,13.79,5.74,3.5,2.97,10.0,5.48,4.75,12.74,200.25,1.21,5.51,4.08,1.89,2023-05-31,2023-05-09,2018-11-06,2023-01-27,2023-01-27
38,"T-Mobile US, Inc. ",TMUS,180.69,284.04,72.79,21.1,0.38,2.37,2.59,3.57,14.09,0.56,12.0,-7.0,154.38,120.9,144.82,143.01,0.01,0.01,1.2,0.0,0.6,54.0,43.0,0.02,4.31,3.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,16.0,4.0,4.0,79.57,63.67,-2.0,47.56,26.73,2.59,2.06,250.0,4.51,3.7,111.79,160.49,0.77,56.45,16.78,4.29,2016-09-14,2013-04-30,2013-04-30,2022-12-30,2022-12-30
39,"Regeneron Pharmaceuticals, Inc. ",REGN,89.61,84.57,21.45,19.88,3.52,7.64,3.95,6.95,16.08,0.21,12.0,-7.0,837.55,538.01,775.66,708.4,0.0,0.0,0.11,0.0,0.1,3.0,90.0,0.0,2.28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,41.0,11.0,21.0,12.17,113.66,-31.0,7.02,5.34,4.34,37.98,-46.0,7.74,72.54,2.7,11.92,5.06,211.81,5.01,2.64,,,,2022-12-30,2022-12-30
40,The Progressive Corporation ,PGR,86.99,93.67,125.95,22.68,0.22,1.76,5.65,1.89,0.0,0.49,32.0,-7.0,149.87,106.35,141.54,128.65,0.0,0.0,0.59,0.0,0.58,0.0,87.0,0.0,1.28,1.0,1.0,0.0,0.4,0.0,0.4,0.0,2.34,42.0,4.0,1.0,3.0,1.0,4.0,49.59,84.85,8.0,1.69,1.73,0.69,1.19,-14.0,3.07,5.24,6.53,41.06,0.38,26.32,6.85,3.2,2023-04-13,2023-04-04,2006-05-18,2022-12-30,2022-12-30
41,"Marsh & McLennan Companies, Inc. ",MMC,83.76,95.79,28.01,22.47,3.41,4.12,7.96,4.62,18.18,0.92,0.0,-7.0,183.14,143.33,165.04,163.52,0.0,0.0,0.49,0.0,0.49,0.0,91.0,0.0,1.74,1.0,1.0,0.0,2.36,1.0,2.31,1.0,1.57,37.0,2.0,15.0,22.0,8.0,28.0,20.72,41.52,-2.0,8.88,5.23,3.05,6.04,-42.0,1.44,2.92,13.47,125.33,1.16,21.26,3.46,3.49,2023-05-14,2023-04-03,2002-06-30,2022-12-30,2022-12-30
42,Vertex Pharmaceuticals Incorporated ,VRTX,84.07,74.19,25.46,23.2,0.49,9.47,6.04,8.31,16.73,0.48,13.0,-7.0,328.38,233.01,301.79,297.92,0.0,0.0,0.26,0.0,0.26,0.0,96.0,0.0,2.79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,49.0,17.0,28.0,8.93,34.87,11.0,5.32,4.53,3.32,12.8,6.0,10.78,41.92,0.9,6.47,4.83,54.13,4.13,3.31,,,2000-08-23,2022-12-30,2022-12-30
